${0},,
"For Sales",,
"Forbidden Error",,
"Form Section",,
"Form Tab",,
"Form Type",,
Forty,,
Four,,
Fourteen,,
Fr,,
Fraction,Kesir,
"Fraction Units","Kesir Birimleri",
"Free Item",,
"Free items out of stock: ${0}",,
"Freight and Forwarding Charges","Nakliye ve Nakliye Ücretleri",
From,,
"From Account",Hesaptan,
"From Date","Tarihten itibaren",
"From Lead",,
"From Loc.",,
"From Year","Yıldan İtibaren",
"Full Name","tam adı",
"Furnitures and Fixtures","Mobilya ve Demirbaşlar",
GST,,
"GSTIN No.","GSTIN Yok.",
GSTR1,GSTR1NAME,
GSTR2,GSTR2COMMENT,
"Gain/Loss on Asset Disposal","Varlık Elden Çıkarmada Kazanç/ Kayıp",
General,Genel,
"General Ledger",Kebir,
"Get Started",Başla,
Global,,
"Go back to the previous page",,
Gram,Gramlık,
"Grand Total","Genel Toplam",
"Greater Than","Daha büyük",
Green,Yeşil,
"Green Bar By SFGCO does not have access to the selected file: ${0}",,
"Group By",Gruplandır,
HSN/SAC,HSN/SAC,
"HSN/SAC Code","HSN/SAC Kodu",
"Half Yearly","Yarım Yıllık",
"Half Years","Yarım Yıl",
"Has Batch",,
"Has Serial Number",,
"Height (in cm)",,
Held,,
"Held Button Colour",,
Help,,
"Hex Value","Onaltılık Değer",
"Hidden values will be visible on Print on.",,
"Hide Get Started","Gizle Başla",
"Hide Group Amounts","Grup Tutarlarını Gizle",
"Hide Month/Year",,
"Hide Unavailable Items",,
"Hides the Get Started section from the sidebar. Change will be visible on restart or refreshing the app.","Kenar çubuğundan Başlarken bölümünü gizler. Değişiklik, uygulamayı yeniden başlattığınızda veya yenilediğinizde görünür olacaktır.",
Hour,Saat,
Hundred,,
INR,INR,
"If any entry form is open, save the details. Otherwise, save the invoice.",,
"If any entry form is open, your entry will be canceled. Otherwise the selected items will be removed.",,
"Ignore Pricing Rule",,
Image,Görüntü,
"Import Complete",,
"Import Data","Verileri İçe Aktar",
"Import Data.",,
"Import Type","İçe Aktarma Türü",
"Import Wizard",,
"Importer not set, reload tool",,
Inactive,,
"Include Cancelled","İptal Edilenleri Dahil Et",
Income,Gelir,
"Income Account","Gelir Hesabı",
"Increase print template display scale",,
Indigo,Çivit,
"Indirect Expenses","Dolaylı Giderler",
"Indirect Income","Dolaylı Gelir",
Inflow,Giriş,
"Instance Id","Örnek Kimliği",
"Insufficient Quantity",,
"Insufficient Quantity.",,
"Insufficient Quantity. Item ${0} has only ${1} quantities available. you selected ${2}",,
Int,,
"Integration Error Log",,
Interested,,
"Intergrated Tax","Entegre Vergi",
"Internal Precision","İç Hassasiyet",
"Invalid HSN Code.",,
"Invalid Key Error",,
"Invalid Quantity for Item ${0}",,
"Invalid barcode value ${0}.",,
"Invalid value ${0} for ${1}","${1} için geçersiz değer $ {0}",
"Invalid value found for ${0}",,
Inventory,,
"Inventory Items",,
"Inventory Settings",,
Investments,Yatırımlar,
Invoice,Fatura,
"Invoice Created","Fatura Oluşturuldu",
"Invoice Date","Fatura Tarihi",
"Invoice Item",,
"Invoice No","Fatura No",
"Invoice No.","Fatura No.",
"Invoice Value","Fatura Değeri",
Invoices,Faturalandırıyor,
Is,Oluyor,
"Is Coupon Code Based",,
"Is Custom",,
"Is Empty",Boş,
"Is Enabled",,
"Is Group","Grup mu",
"Is Landscape",,
"Is Not",Değil,
"Is Not Empty","Boş Değil",
"Is POS Shift Open",,
"Is Price List Enabled",,
"Is Pricing Rule Enabled",,
"Is Recursive",,
"Is Required",,
"Is Sync Enabled",,
"Is Whole",,
Item,Öğe,
"Item ${0} has Zero Quantity",,
"Item ${0} is a batched item",,
"Item ${0} is not a batched item",,
"Item ${0} not found",,
"Item ${0} not in Stock",,
"Item ${0} only has ${1} Quantity",,
"Item ${0} only has ${1} Quantity in batch ${2}",,
"Item Code",,
"Item Code Digits",,
"Item Description","Ürün Açıklaması",
"Item Discounts",,
"Item Group",,
"Item Name","Öğe Adı",
"Item Prices",,
"Item Visibility",,
"Item is out of stock (quantity is zero)",,
"Item with From location not found",,
"Item with To location not found",,
"Item with barcode ${0} not found.",,
ItemCode,,
Items,Öğeler,
January,,
"John Doe","John Doe",
"Journal Entries","Günlük Girişleri",
"Journal Entry","Günlük Girişi",
"Journal Entry Account","Günlük Giriş Hesabı",
"Journal Entry Number Series",,
"Journal Entry Print Template",,
July,,
June,,
"Key Hints",,
Kg,Kiloluk,
Label,,
Language,Dil,
Lead,,
"Left Index","Sol Dizin",
"Legal Expenses","Yasal Giderler",
"Less Filters",,
"Less Than",daha,
Liability,Yükümlülük,
Limit,,
Link,,
"Link Validation Error",,
"Linked Entries",,
List,Liste,
"List View",,
"Load an existing company from your computer",,
"Loading Report...","Rapor Yükleniyor...",
"Loading instance...",,
Loading...,Yükleniyor...,
"Loans (Liabilities)","Krediler (Borçlar)",
"Loans and Advances (Assets)","Krediler ve Avanslar (Varlıklar)",
Locale,Yerel,
Location,,
"Location Name",,
Logo,Logo,
"Loyalty Point Entry",,
"Loyalty Points",,
"Loyalty Points Redemption",,
"Loyalty Program",,
"Loyalty Program Tier",,
"Make Entry","Giriş Yap",
"Make Payment On Submit",,
"Make Purchase Receipt On Submit",,
"Make Shipment On Submit",,
"Mandatory Error",,
Manufacture,,
"Manufacture Date",,
"Mar 23, 2022",23.03.2022,
March,,
"Mark ${0} as submitted?",,
"Marketing Expenses","Pazarlama Giderleri",
"Material Issue",,
"Material Receipt",,
"Material Transfer",,
"Max Amount",,
"Max Qty (As Per Stock Unit)",,
"Maximum Amount should be greater than the Minimum Amount.",,
"Maximum Amount should be lesser than Pricing Rule's Maximum Amount",,
"Maximum Quantity should be greater than the Minimum Quantity.",,
"Maximum Use",,
May,,
Meter,Metre,
Million,,
"Min Amount",,
"Min Qty (As Per Stock Unit)",,
"Minimum Amount should be greather than the Pricing Rule's Minimum Amount.",,
"Minimum Amount should be less than the Maximum Amount.",,
"Minimum Quantity should be less than the Maximum Quantity.",,
"Minimum Total Spent",,
Misc,,
Miscellaneous,,
"Miscellaneous Expenses","Çeşitli Giderler",
Mo,,
Mobile,,
Modern,,
Modified,Modifiye,
"Modified By","Tarafından değiştirildi",
Monthly,Aylık,
Months,Aylar,
More,,
"More Filters",,
"More shortcuts will be added soon.",,
"Movement Type",,
Name,İsim,
Navigate,Gitmek,
"Need ${0} Serial Numbers for Item ${1}. You have provided ${2}",,
"Net Total","Net Toplam",
"New ${0}","Yeni ${0}",
"New ${0} ${1}",,
"New Account","Yeni Hesap",
"New Company",,
"New Entry",,
"New Template",,
Nine,,
Nineteen,,
Ninety,,
No,Hayır,
"No Display Entries Found",,
"No Print Templates not found for entry type ${0}",,
"No Value",,
"No Values to be Displayed","Görüntülenecek Değer Yok",
"No entries found","Hiçbir girdi bulunamadı",
"No entries were imported.",,
"No expenses in this period","Bu dönemde masraf yok",
"No filters selected","Filtre seçilmedi",
"No linked entries found",,
"No results found","Sonuç bulunamadı",
"No results found, disable filters",,
"No rows added. Select a file or add rows.",,
"No transactions yet","Henüz işlem yok",
"Non Active Serial Number ${0} cannot be used as Manufacture raw material",,
"Non Active Serial Number ${0} cannot be used for Material Issue",,
"Non Active Serial Number ${0} cannot be used for Material Transfer",,
"Non Inactive Serial Number ${0} cannot be used for Material Receipt",,
"Non-Inventory Items",,
None,Hiçbiri,
"Not Found",,
"Not Saved",,
"Not Submitted",,
"Not Transferred",,
Notes,Notlar,
November,,
"Number Display",,
"Number Series","Sayı Serisi",
"Number of ${0}","${0} sayısı",
"Number of Rows",,
October,,
"Office Equipments","Ofis Ekipmanları",
"Office Maintenance Expenses","Ofis Bakım Giderleri",
"Office Rent","Ofis Kiralama",
Okay,,
"Onboarding Complete","Onboarding Tamamlandı",
One,,
"Only From or To can be set for Manufacture",,
Open,,
"Open Count",,
"Open Documentation",,
"Open Folder","Klasörü Aç",
"Open Print View",,
"Open Print View if Print is available.",,
"Open Quick Search",,
"Open Report Print View",,
"Open Sales Invoice List",,
"Open Saved or Submitted Invoice List.",,
"Open the Export Wizard modal",,
"Opening (Cr)","Açılış (Cr)",
"Opening (Dr)","Açılış (Dr)",
"Opening Amount",,
"Opening Amounts",,
"Opening Balance Equity","Açılış Bakiyesi Özkaynakları",
"Opening Balances","Açılış Bakiyeleri",
"Opening Cash",,
"Opening Cash Amount can not be negative.",,
"Opening Cash In Denominations",,
"Opening Date",,
"Opening Entry","Giriş Açılıyor",
"Opening Shift",,
Opportunity,,
Options,,
Orange,Portakal,
Organisation,Örgüt,
Outflow,"Dışarı akma",
Outstanding,,
"Outstanding Amount","Ödenmemiş Tutar",
POS,,
"POS Closing Shift",,
"POS Counter Cash Account is not set. Please set it on POS Settings",,
"POS Customer",,
"POS Inventory is not set. Please set it on POS Settings",,
"POS Opening Shift",,
"POS Profile",,
"POS Settings",,
"POS Shift Amount",,
"POS Write Off Account is not set. Please set it on POS Settings",,
"Pad Zeros","Ped Sıfırları",
Page,Sayfa,
Paid,Ödenmiş,
"Paid ${0}",,
"Paid Change",,
Paisa,,
Parent,Ebeveyn,
"Parent Account","Ana Hesap",
"Partly Paid",,
"Partly Paid ${0}",,
Party,Taraf,
"Patch Run","Yama Çalışması",
Pay,Ödemek,
"Pay & Print",,
"Pay And Print Button Colour",,
"Pay Button Colour",,
Payable,Ödenebilir,
Payment,Ödeme,
"Payment ${0} is Saved",,
"Payment For","İçin ödeme",
"Payment Method","Ödeme Yöntemi",
"Payment No","Ödeme No",
"Payment Number Series",,
"Payment Print Template",,
"Payment Reference","Ödeme Referansı",
"Payment Type","Ödeme Şekli",
"Payment amount cannot be ${0}.","Ödeme tutarı ${0} olamaz.",
"Payment amount cannot be less than zero.","Ödeme tutarı sıfırdan az olamaz.",
"Payment amount cannot exceed ${0}.","Ödeme tutarı ${0} değerini geçemez.",
"Payment amount: ${0} should be greater than 0.","Ödeme tutarı: ${0} 0'dan büyük olmalıdır.",
"Payment amount: ${0} should be less than Outstanding amount: ${1}.","Ödeme tutarı: ${0} Ödenmemiş tutardan az olmalıdır: ${1}.",
"Payment of ${0} will be made from account ""${1}"" to account ""${2}"" on Submit.",,
Payments,Ödemeler,
"Payroll Payable","Ödenecek Bordro",
"Pending qty. ${0}",,
Periodicity,"Periyodik olarak tekrarlanma",
Phone,Telefon,
"Pick Columns",,
"Pick Import Columns",,
Pink,Pembe,
Place,Yer,
"Place of supply","Arz yeri",
"Plants and Machineries","Tesisler ve Makineler",
"Please Wait","Lütfen Bekleyin",
"Please add a customer before saving",,
"Please check Key Hints for valid key names",,
"Please create a ${0} entry to view Template Preview.",,
"Please fill all values.",,
"Please restart and try again.",,
"Please select a Print Template",,
"Please select a batch first",,
"Please select a valid reference type.","Lütfen geçerli bir referans türü seçin.",
"Please set GSTIN in General Settings.",,
"Please set Round Off Account in the Settings.",,
"Please set a Display Doc",,
"Point of Sale",,
"Points must be greater than 0",,
"Points must be greather than 0",,
"Pos Print Template",,
"Pos Print Width",,
"Pos Ui",,
"Postal Code","posta Kodu",
"Postal Expenses","Posta Giderleri",
"Posting Date","Kayıt Tarihi",
Prefix,Önek,
"Price Discount",,
"Price Discount Scheme",,
"Price Discount Type",,
"Price List",,
"Price List Item",,
"Pricing Rule",,
"Pricing Rule Detail",,
"Pricing Rule Item",,
"Prime Bank","Başbakan Bankası",
Print,Yazdırma,
"Print ${0}",,
"Print Failed",,
"Print Settings","Yazdırma Ayarları",
"Print Setup",,
"Print Successful",,
"Print Template",,
"Print Template Name not set",,
"Print Template is empty",,
"Print Templates",,
"Print View",,
"Print and Stationery","Baskı ve Kırtasiye",
Priority,,
Product,Ürün,
"Product Discount",,
"Product Discount Scheme",,
Profile,,
"Profit And Loss","Kar ve Zarar",
"Profit and Loss","Kar ve Zarar",
Purchase,"Satın alma",
"Purchase Acc.",,
"Purchase Amount",,
"Purchase Invoice","Satınalma Faturası",
"Purchase Invoice Item","Satınalma Faturası Kalemi",
"Purchase Invoice Number Series",,
"Purchase Invoice Print Template",,
"Purchase Invoice Terms",,
"Purchase Invoices","Satınalma Faturaları",
"Purchase Item",,
"Purchase Item Created","Satınalma Öğesi Oluşturuldu",
"Purchase Items","Ürün Satın Alma",
"Purchase Payment",,
"Purchase Payment Account",,
"Purchase Payments","Satın Alma Ödemeleri",
"Purchase Receipt",,
"Purchase Receipt Item",,
"Purchase Receipt Location",,
"Purchase Receipt Number Series",,
"Purchase Receipt Print Template",,
"Purchase Receipt Terms",,
Purchases,Alımlar,
Purple,Mor,
Purpose,,
"Qty in Batch",,
"Qty. ${0}",,
"Qty. in Transfer Unit",,
Quantity,Miktar,
"Quantity (${0}) has to be greater than zero",,
"Quantity and Amount",,
"Quantity needs to be set",,
Quarterly,"Üç aylık",
Quarters,Konut,
"Quick Search",,
"Quick edit error: ${0} entry has no name.",,
Quotation,,
Quote,,
"Quote Reference",,
Rate,Oran,
"Rate (${0}) cannot be less zero.","Oran (${0}) daha az sıfır olamaz.",
"Rate (${0}) has to be greater than zero",,
"Rate can't be negative.","Oran negatif olamaz.",
"Rate needs to be set",,
"Raw Value: ${0}",,
Receivable,Alacak,
Receive,Almak,
"Recurse Every (As Per Transaction Unit)",,
Red,Kırmızı,
"Redeem Loyalty Points",,
"Ref Name","Hakem Adı",
"Ref Type","Ref Türü",
"Ref. / Cheque No.","İlan. / Çek No.",
"Ref. Date","İlan. Tarih",
"Ref. Name","İlan. İsim",
"Ref. Type","İlan. Tip",
Reference,Referans,
"Reference Date","Başvuru Tarihi",
"Reference Id not set.",,
"Reference Number","Referans Numarası",
"Reference Type","Referans Türü",
References,,
"Register Instance",,
"Reload Green Bar By SFGCO?",,
Replied,,
Report,Bildiri,
"Report Error","Hata Bildir",
"Report Issue","Rapor Sorunu",
"Report will use more than one page if required.",,
Reports,Rapor,
"Required fields not selected: ${0}",,
"Retained Earnings","Elde Tutulan Kazançlar",
Return,,
"Return Against",,
"Return Button Colour",,
"Return Issued",,
"Reverse Chrg.","Chrg'yi tersine çevir.",
Reverted,Döndürüyordu,
Reverts,Döndürüyor,
"Review Accounts","Hesapları Gözden Geçirme",
"Review your chart of accounts, add any account or tax heads as needed","Hesap çizelgenizi gözden geçirin, gerektiğinde herhangi bir hesap veya vergi müdürü ekleyin",
"Right Index","Sağ Dizin",
Role,Rol,
"Root Type","Kök Türü",
Round,,
"Round Free Item Quantity",,
"Round Off",tamamlamak,
